feature,psi,severity,ks_stat,ks_p,ref_mean,cur_mean,mean_shift
back_stdvz2,0.025044480444334258,ok,0.03746268656716418,0.7631971619604039,0.10683343274477146,0.10483324981003533,-0.002000182934736125
forward_sumvector8,0.023310123280217684,ok,0.04276119402985075,0.6081692049244946,0.10089568891949124,0.09187964441589429,-0.009016044503596957
forward_stdvz10,0.02279876893594561,ok,0.05365671641791045,0.3242699831628893,0.018722985061962825,0.020910749910399318,0.002187764848436493
back_sumvector2,0.022449313033766176,ok,0.03716417910447761,0.7715658936661937,0.659403146622805,0.6571796399394225,-0.002223506683382448
back_stdvz1,0.021551518607001247,ok,0.04406716417910448,0.5699856848277755,0.13744268649077016,0.15068275027384515,0.01324006378307499
back_stdvz6,0.020374176647335426,ok,0.04291044776119403,0.6037771400423915,0.03709679112557683,0.04062150014215149,0.003524709016574659
forward_sumvector1,0.02011201927610248,ok,0.05220149253731343,0.35645087583005935,0.8296344883465852,0.8695796382981643,0.03994514995157916
back_stdvz3,0.01999209938387248,ok,0.05291044776119403,0.34051984791729184,0.08235970144194843,0.08517524966795463,0.002815548226006201
stdvz,0.019962686414400625,ok,0.04354477611940299,0.5851891722954272,0.15149007452349525,0.15692474993818906,0.005434675414693807
forward_stdvz6,0.018752216619057387,ok,0.033507462686567166,0.8658463516655612,0.042180746227655726,0.044741499850642866,0.00256075362298714
sumover10vector_forward,0.018683180393789044,ok,0.05697761194029851,0.25845013851900545,4.202158365870735,4.399196426434791,0.19703806056405604
forward_stdvz5,0.018637394840000685,ok,0.025223880597014924,0.9863377358806047,0.05565097013127003,0.060430500184884293,0.004779530053614263
forward_stdvz9,0.01855607119114227,ok,0.03126865671641791,0.9129579825722238,0.020331417830355133,0.022406249920022672,0.0020748320896675394
back_sumvector8,0.01820157209134872,ok,0.0358955223880597,0.8061888735855973,0.08626882285526918,0.10535464394386508,0.019085821088595897
forward_sumvector2,0.018068983760614176,ok,0.04287313432835821,0.6048739000209539,0.6721867287605341,0.6708046382297471,-0.0013820905307869724
back_stdvz9,0.017774319258235614,ok,0.032388059701492534,0.8906234174947513,0.018131268696699624,0.018096999934641644,-3.426876205797971e-05
forward_sumvector3,0.017509139134220218,ok,0.033619402985074626,0.8632504113428853,0.5230150884567281,0.4938546408449474,-0.02916044761178066
forward_stdvz2,0.017341958998072206,ok,0.046455223880597016,0.5022078890387662,0.10985649255636051,0.10960800032305996,-0.0002484922333005485
forward_sumvector10,0.017335085380361836,ok,0.02921641791044776,0.9469334774901905,0.0552613608701999,0.06970464426209219,0.01444328339189229
back_sumvector10,0.01667697874941039,ok,0.04164179104477612,0.6412338885434502,0.06270912195978957,0.08455464391823625,0.021845521958446676
back_stdvz7,0.016657941185043827,ok,0.029813432835820896,0.9380185569298954,0.028339029965512175,0.03163275016122498,0.0032937201957128036
forward_sumvector5,0.016461426928087962,ok,0.032985074626865674,0.8776931404379625,0.3026494183633198,0.34325464267429195,0.04060522431097213
stdvzover10vector_back,0.01606307883538945,ok,0.04552238805970149,0.5282978049923766,0.06944594017209124,0.07255197484744713,0.00310603467535589
meanzover10vector_forward,0.015723073945274554,ok,0.04682835820895522,0.491931695703467,0.00482152243395505,0.0062459020003097976,0.0014243795663547477
forward_stdvz8,0.01525030850944515,ok,0.05100746268656717,0.38435511821818535,0.024971343231310984,0.024911750004976058,-5.959322633492664e-05
back_stdvz4,0.015175969763288527,ok,0.034291044776119405,0.8472057824794521,0.06278679102638375,0.06190449992776848,-0.000882291098615269
stdvzover10vector_forward,0.014893514166081293,ok,0.04552238805970149,0.5282978049923766,0.07275329090779953,0.07560082497890107,0.00284753407110154
back_sumvector1,0.014866950722825942,ok,0.04824626865671642,0.45381652221286306,0.8598658310009667,0.9365046335723309,0.07663880257136424
back_stdvz8,0.014837333676259914,ok,0.04492537313432836,0.5452682789140995,0.022029328446508623,0.025789750198018737,0.0037604217515101145
back_sumvector3,0.014368566792513979,ok,0.018992537313432836,0.9997858235147781,0.491447923120907,0.5128546383374487,0.021406715216541694
forward_stdvz3,0.014183296704488323,ok,0.048470149253731346,0.44794147208848395,0.0889280597041639,0.0815734997956315,-0.007354559908532399
sum_vectormagnitudes,0.013949156612797125,ok,0.041007462686567166,0.6600219529401214,0.9436867259554443,1.0014796344636125,0.057792908508168206
back_stdvz5,0.013259470037723195,ok,0.023246268656716418,0.9947588477345327,0.047950298547633545,0.04985825000680052,0.0019079514591669733
forward_sumvector7,0.013204534018537523,ok,0.0392910447761194,0.7106128507501595,0.14893300150327363,0.18297964284778573,0.0340466413445121
forward_stdvz4,0.013107445316421154,ok,0.03727611940298507,0.7684359593880558,0.0701273879913766,0.07797874996264,0.00785136197126339
forward_stdvz1,0.011749088778835685,ok,0.04003731343283582,0.6886975882787595,0.13202499994545924,0.14014675004407764,0.008121750098618402
forward_sumvector9,0.01071677777883679,ok,0.03182835820895522,0.9021096752920194,0.06797777881477472,0.0752546452653769,0.0072768664506021735
forward_sumvector4,0.010481958328578463,ok,0.026492537313432835,0.9774424884748452,0.3989180746298012,0.43822964039907675,0.039311565769275525
forward_stdvz7,0.010337288691955647,ok,0.033582089552238806,0.8641178341544036,0.03197141789323859,0.03728650003904477,0.005315082145806178
forward_sumvector6,0.010101757097985909,ok,0.03242537313432836,0.8898343097262211,0.21426135872038074,0.23187964152733911,0.017618282806958374
back_stdvz10,0.008889366492358419,ok,0.02921641791044776,0.9469334774901905,0.018780000033221944,0.022233750174636954,0.00345375014141501
back_sumvector6,0.007308312833685941,ok,0.016940298507462686,0.9999820290551102,0.18814195639118483,0.2069046434556367,0.01876268706445186
back_sumvector7,0.007147704545778036,ok,0.02205223880597015,0.9974264189767015,0.13023150872188072,0.1584796425778768,0.028248133855996088
sumover10vector_back,0.006993260068470257,ok,0.04033582089552239,0.679888965058763,4.048195673576852,4.282196424054564,0.23400075047771196
back_sumvector4,0.006828342048902251,ok,0.025970149253731343,0.9814806479443058,0.36335837222290845,0.37085464252959355,0.007496270306685093
back_sumvector5,0.0062866566309628565,ok,0.019888059701492537,0.999499330909071,0.26547031348029065,0.27480464181629943,0.00933432833600878
meanzover10vector_back,0.005979319003176176,ok,0.03134328358208955,0.9115532256154578,0.0013651864834309212,0.0016687772834848146,0.00030359080005389343
back_sumvector9,0.004801118620106373,ok,0.01496268656716418,0.9999994062315314,0.060321061962384924,0.05777964279157459,-0.0025414191708103342
