label_col,model,strategy,n_features,n_obs,fit_seconds,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_precision_mean,cv_macro_precision_std,cv_macro_recall_mean,cv_macro_recall_std,cv_macro_auc_mean,cv_macro_auc_std,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_macro_precision,oof_macro_recall,oof_macro_auc
motion_4cat,majority_baseline,random_row,48,1340,0.02,0.3858208955223881,0.0020437408862133124,0.25,0.0,0.1392023881981277,0.0005318002978414261,0.09645522388059702,0.0005109352215533281,0.25,0.0,0.5,0.0,0.3858208955223881,0.25,0.13920301561658588,0.09645522388059702,0.25,0.5
motion_4cat,logistic_regression,random_row,48,1340,0.09,0.9619402985074628,0.013297410209854794,0.9559897187459299,0.015353512459262513,0.9439762558122814,0.018693947029981218,0.9350593354657146,0.02167675068626056,0.9559897187459299,0.015353512459262513,0.9918979105267823,0.006539640798742294,0.9619402985074627,0.9559520010597837,0.9435912576020062,0.9330864127872134,0.9559520010597837,0.9914382452295576
motion_4cat,decision_tree,random_row,48,1340,0.06,0.9664179104477612,0.008750775671312359,0.9656133830774382,0.009947510271459624,0.9530305616572058,0.014186957160979292,0.9435651636207616,0.017785535868123276,0.9656133830774382,0.009947510271459624,0.9836571231229962,0.00630025779925605,0.9664179104477612,0.9656693817878028,0.952629115306489,0.9417651248050185,0.9656693817878028,0.9836601956711983
motion_4cat,random_forest,random_row,48,1340,7.78,0.982089552238806,0.004865076421793002,0.9645874423826821,0.007599198810218195,0.9653812109967237,0.011925134634639711,0.9668356831146763,0.017066098168043872,0.9645874423826821,0.007599198810218195,0.9979689233190643,0.001541762380559059,0.982089552238806,0.9645307178201916,0.9651887934088184,0.9659575544622953,0.9645307178201916,0.9978539578410028
motion_4cat,gradient_boosting,random_row,48,1340,1.87,0.9865671641791044,0.004254385914549025,0.9845007174630507,0.006215553248661094,0.9772598160085808,0.008712393459231981,0.9717084444374983,0.01206683339042558,0.9845007174630507,0.006215553248661094,0.9987263495054719,0.0009360417309058195,0.9865671641791045,0.9844663742690059,0.9771799871449591,0.9711088017350443,0.9844663742690059,0.9986134368514397
motion_4cat,majority_baseline,grouped_event,48,1340,0.02,0.3738805970149254,0.025635170204951742,0.25,0.0,0.13596345042028807,0.006960832789245582,0.09347014925373134,0.0064087925512379355,0.25,0.0,0.5,0.0,0.3738805970149254,0.24336065825427527,0.18695076578941364,0.17840485074626866,0.24336065825427527,0.4946753235169008
motion_4cat,logistic_regression,grouped_event,48,1340,0.09,0.9634328358208956,0.013297410209854818,0.9638586785082742,0.023214139932888622,0.9398068100577864,0.035829318886344046,0.9307464198082777,0.04581846001631831,0.9638586785082742,0.023214139932888622,0.9918254527945445,0.009401169969553098,0.9634328358208956,0.9575445240338858,0.9475127424328638,0.9386229405056821,0.9575445240338858,0.9893767107580538
motion_4cat,decision_tree,grouped_event,48,1340,0.06,0.9582089552238806,0.02380468344438297,0.9540453417003283,0.02289105612488221,0.9338180116277425,0.03268110833812164,0.9226785993790145,0.03900683766963779,0.9540453417003283,0.02289105612488221,0.9766578400960014,0.011477181862823729,0.9582089552238806,0.9488063106484159,0.9408759499054111,0.9338264977694813,0.9488063106484159,0.9738793751331926
motion_4cat,random_forest,grouped_event,48,1340,7.76,0.9776119402985074,0.01750155134262473,0.9651366715045961,0.031247615013247687,0.9554998378296251,0.03485880210382481,0.9534209776578197,0.04361556256116172,0.9651366715045961,0.031247615013247687,0.9975182130114633,0.002816329252691024,0.9776119402985075,0.9602029914529915,0.9614270298743264,0.9630970519597042,0.9602029914529915,0.9965310465513615
motion_4cat,gradient_boosting,grouped_event,48,1340,1.82,0.9746268656716419,0.015474956233826685,0.9651887368396803,0.02037629120623428,0.951389535286642,0.02931461080245977,0.9466717239147145,0.04042902693952574,0.9651887368396803,0.02037629120623428,0.9982298575132236,0.0016806321820068797,0.9746268656716418,0.959869625988047,0.9583100543530575,0.9575002628594659,0.959869625988047,0.9973424107120142
motion_4cat,majority_baseline,grouped_day,48,1340,0.02,0.3611023126633787,0.044220000518269416,0.2833333333333333,0.04564354645876383,0.15031408038681893,0.03017493582848698,0.10262459969912659,0.02288391876369532,0.2833333333333333,0.04564354645876383,0.5,0.0,0.3611940298507463,0.2350653188419146,0.17961441079767076,0.1700457134526673,0.2350653188419146,0.4879621695571727
motion_4cat,logistic_regression,grouped_day,48,1340,0.09,0.935983821511088,0.05085128422498824,0.9161438781428106,0.059470776045890954,0.8675813096203072,0.09742155100262127,0.875918457278523,0.10142165025917146,0.8680132034054063,0.09761171780011126,0.9822567936794616,0.015306660895226044,0.935820895522388,0.9214787988234237,0.9090553108155113,0.899880628181826,0.9214787988234237,0.9622985570035659
motion_4cat,decision_tree,grouped_day,48,1340,0.07,0.9321345785626123,0.06823583519949575,0.9222191962671747,0.062376880060385484,0.8722628324085987,0.1343482881943806,0.8854344953052194,0.12112025285582668,0.8779903671175695,0.13354416342173733,0.9722548709515532,0.024317464629810125,0.932089552238806,0.9344454887218046,0.8989084533171571,0.8807740257206074,0.9344454887218046,0.9767943098006615
motion_4cat,random_forest,grouped_day,48,1340,7.7,0.9739273820977179,0.01945863149923137,0.9520035288130682,0.0377354697588074,0.9096018422391452,0.09965283094626985,0.9207424242051065,0.09949456634824781,0.9032230410081903,0.1021902021962048,0.9942304350268358,0.006733429688870837,0.9738805970149254,0.9448159661975452,0.9500554770794889,0.9556148911357135,0.9448159661975452,0.9960410055694562
motion_4cat,gradient_boosting,grouped_day,48,1340,1.82,0.9754142453196597,0.018663428148723488,0.9565244193091648,0.034265414832154784,0.914502565085848,0.10374817454406375,0.9248666346258755,0.10094198096131587,0.9081504355693273,0.10746839903373746,0.99437903566607,0.00762265937654112,0.9753731343283583,0.9569135177687809,0.9549533206868387,0.954033590421369,0.9569135177687809,0.9962512239633681
